gametime,home,visitor
2020-08-07 05:00:00 EDT,Chunichi,Yomiuri
2020-08-07 05:00:00 EDT,Yakult,Yokohama
2020-08-07 05:00:00 EDT,Hiroshima,Hanshin
2020-08-07 05:00:00 EDT,Nippon,Seibu
2020-08-07 05:00:00 EDT,Rakuten,SoftBank
2020-08-07 05:00:00 EDT,Orix,Lotte
2020-08-08 01:00:00 EDT,Chunichi,Yomiuri
2020-08-08 05:00:00 EDT,Yakult,Yokohama
2020-08-08 05:00:00 EDT,Hiroshima,Hanshin
2020-08-08 01:00:00 EDT,Nippon,Seibu
2020-08-08 05:00:00 EDT,Rakuten,SoftBank
2020-08-08 01:00:00 EDT,Orix,Lotte
2020-08-09 01:00:00 EDT,Chunichi,Yomiuri
2020-08-09 05:00:00 EDT,Yakult,Yokohama
2020-08-09 05:00:00 EDT,Hiroshima,Hanshin
2020-08-09 00:00:00 EDT,Nippon,Seibu
2020-08-09 04:00:00 EDT,Rakuten,SoftBank
2020-08-09 00:00:00 EDT,Orix,Lotte
2020-08-10 05:00:00 EDT,Yokohama,Hanshin
2020-08-10 05:00:00 EDT,Hiroshima,Chunichi
2020-08-11 05:00:00 EDT,Yokohama,Hanshin
2020-08-11 05:00:00 EDT,Hiroshima,Chunichi
2020-08-11 05:00:00 EDT,Seibu,Rakuten
2020-08-11 05:00:00 EDT,Lotte,Nippon
2020-08-11 05:00:00 EDT,SoftBank,Orix
2020-08-12 05:00:00 EDT,Yomiuri,Yakult
2020-08-12 05:00:00 EDT,Yokohama,Hanshin
2020-08-12 05:00:00 EDT,Hiroshima,Chunichi
2020-08-12 05:00:00 EDT,Seibu,Rakuten
2020-08-12 05:00:00 EDT,Lotte,Nippon
2020-08-12 05:00:00 EDT,SoftBank,Orix
2020-08-13 05:00:00 EDT,Yomiuri,Yakult
2020-08-13 05:00:00 EDT,Seibu,Rakuten
2020-08-13 05:00:00 EDT,Lotte,Nippon
2020-08-13 05:00:00 EDT,SoftBank,Orix
2020-08-14 05:00:00 EDT,Yomiuri,Chunichi
2020-08-14 05:00:00 EDT,Yokohama,Yakult
2020-08-14 05:00:00 EDT,Hanshin,Hiroshima
2020-08-14 05:00:00 EDT,Seibu,Rakuten
2020-08-14 05:00:00 EDT,Lotte,Nippon
2020-08-14 01:00:00 EDT,SoftBank,Orix
2020-08-15 01:00:00 EDT,Yomiuri,Chunichi
2020-08-15 05:00:00 EDT,Yokohama,Yakult
2020-08-15 05:00:00 EDT,Hanshin,Hiroshima
2020-08-15 05:00:00 EDT,Seibu,Rakuten
2020-08-15 04:00:00 EDT,Lotte,Nippon
2020-08-15 00:00:00 EDT,SoftBank,Orix
2020-08-16 00:00:00 EDT,Yomiuri,Chunichi
2020-08-16 05:00:00 EDT,Yokohama,Yakult
2020-08-16 05:00:00 EDT,Hanshin,Hiroshima
2020-08-16 05:00:00 EDT,Seibu,Rakuten
2020-08-16 04:00:00 EDT,Lotte,Nippon
2020-08-16 00:00:00 EDT,SoftBank,Orix
2020-08-18 00:00:00 EDT,Yomiuri,Hanshin
2020-08-18 05:00:00 EDT,Yakult,Chunichi
2020-08-18 05:00:00 EDT,Hiroshima,Yokohama
2020-08-18 05:00:00 EDT,Nippon,Rakuten
2020-08-18 05:00:00 EDT,Lotte,SoftBank
2020-08-18 05:00:00 EDT,Orix,Seibu
2020-08-19 00:00:00 EDT,Yomiuri,Hanshin
2020-08-19 05:00:00 EDT,Yakult,Chunichi
2020-08-19 05:00:00 EDT,Hiroshima,Yokohama
2020-08-19 05:00:00 EDT,Nippon,Rakuten
2020-08-19 05:00:00 EDT,Lotte,SoftBank
2020-08-19 05:00:00 EDT,Orix,Seibu
2020-08-20 05:00:00 EDT,Yomiuri,Hanshin
2020-08-20 05:00:00 EDT,Yakult,Chunichi
2020-08-20 05:00:00 EDT,Hiroshima,Yokohama
2020-08-20 05:00:00 EDT,Nippon,Rakuten
2020-08-20 05:00:00 EDT,Lotte,SoftBank
2020-08-20 05:00:00 EDT,Orix,Seibu
2020-08-21 05:00:00 EDT,Yakult,Hanshin
2020-08-21 05:00:00 EDT,Chunichi,Yokohama
2020-08-21 05:00:00 EDT,Hiroshima,Yomiuri
2020-08-21 05:00:00 EDT,Nippon,Rakuten
2020-08-21 05:00:00 EDT,Lotte,SoftBank
2020-08-21 05:00:00 EDT,Orix,Seibu
2020-08-22 05:00:00 EDT,Yakult,Hanshin
2020-08-22 01:00:00 EDT,Chunichi,Yokohama
2020-08-22 05:00:00 EDT,Hiroshima,Yomiuri
2020-08-22 01:00:00 EDT,Nippon,Rakuten
2020-08-22 04:00:00 EDT,Lotte,SoftBank
2020-08-22 01:00:00 EDT,Orix,Seibu
2020-08-23 05:00:00 EDT,Yakult,Hanshin
2020-08-23 01:00:00 EDT,Chunichi,Yokohama
2020-08-23 05:00:00 EDT,Hiroshima,Yomiuri
2020-08-23 01:00:00 EDT,Nippon,Rakuten
2020-08-23 04:00:00 EDT,Lotte,SoftBank
2020-08-23 00:00:00 EDT,Orix,Seibu
2020-08-25 05:00:00 EDT,Yakult,Yomiuri
2020-08-25 05:00:00 EDT,Yokohama,Hiroshima
2020-08-25 05:00:00 EDT,Hanshin,Chunichi
2020-08-25 05:00:00 EDT,Rakuten,Lotte
2020-08-25 05:00:00 EDT,Seibu,Nippon
2020-08-25 05:00:00 EDT,SoftBank,Orix
2020-08-26 05:00:00 EDT,Yakult,Yomiuri
2020-08-26 05:00:00 EDT,Yokohama,Hiroshima
2020-08-26 05:00:00 EDT,Hanshin,Chunichi
2020-08-26 05:00:00 EDT,Rakuten,Lotte
2020-08-26 05:00:00 EDT,Seibu,Nippon
2020-08-26 05:00:00 EDT,SoftBank,Orix
2020-08-27 05:00:00 EDT,Yakult,Yomiuri
2020-08-27 05:00:00 EDT,Yokohama,Hiroshima
2020-08-27 05:00:00 EDT,Hanshin,Chunichi
2020-08-27 05:00:00 EDT,Rakuten,Lotte
2020-08-27 05:00:00 EDT,Seibu,Nippon
2020-08-27 05:00:00 EDT,SoftBank,Orix
2020-08-28 05:00:00 EDT,Yomiuri,Chunichi
2020-08-28 05:00:00 EDT,Yokohama,Yakult
2020-08-28 05:00:00 EDT,Hiroshima,Hanshin
2020-08-28 05:00:00 EDT,Rakuten,Seibu
2020-08-28 05:00:00 EDT,Orix,Lotte
2020-08-28 05:00:00 EDT,SoftBank,Nippon
2020-08-29 01:00:00 EDT,Yomiuri,Chunichi
2020-08-29 05:00:00 EDT,Yokohama,Yakult
2020-08-29 05:00:00 EDT,Hiroshima,Hanshin
2020-08-29 05:00:00 EDT,Rakuten,Seibu
2020-08-29 01:00:00 EDT,Orix,Lotte
2020-08-29 01:00:00 EDT,SoftBank,Nippon
2020-08-30 01:00:00 EDT,Yomiuri,Chunichi
2020-08-30 05:00:00 EDT,Yokohama,Yakult
2020-08-30 05:00:00 EDT,Hiroshima,Hanshin
2020-08-30 04:00:00 EDT,Rakuten,Seibu
2020-08-30 00:00:00 EDT,Orix,Lotte
2020-08-30 00:00:00 EDT,SoftBank,Nippon
2020-09-01 05:00:00 EDT,Yomiuri,Yokohama
2020-09-01 05:00:00 EDT,Chunichi,Hiroshima
2020-09-01 05:00:00 EDT,Hanshin,Yakult
2020-09-01 05:00:00 EDT,Nippon,Rakuten
2020-09-01 05:00:00 EDT,Lotte,Seibu
2020-09-01 05:00:00 EDT,Orix,SoftBank
2020-09-02 05:00:00 EDT,Yomiuri,Yokohama
2020-09-02 05:00:00 EDT,Chunichi,Hiroshima
2020-09-02 05:00:00 EDT,Hanshin,Yakult
2020-09-02 05:00:00 EDT,Nippon,Rakuten
2020-09-02 05:00:00 EDT,Lotte,Seibu
2020-09-02 05:00:00 EDT,Orix,SoftBank
2020-09-03 05:00:00 EDT,Yomiuri,Yokohama
2020-09-03 05:00:00 EDT,Chunichi,Hiroshima
2020-09-03 05:00:00 EDT,Hanshin,Yakult
2020-09-03 05:00:00 EDT,Nippon,Rakuten
2020-09-03 05:00:00 EDT,Lotte,Seibu
2020-09-03 05:00:00 EDT,Orix,SoftBank
2020-09-04 05:00:00 EDT,Yakult,Chunichi
2020-09-04 05:00:00 EDT,Hanshin,Yomiuri
2020-09-04 05:00:00 EDT,Hiroshima,Yokohama
2020-09-04 05:00:00 EDT,Nippon,Seibu
2020-09-04 05:00:00 EDT,Rakuten,Orix
2020-09-04 05:00:00 EDT,SoftBank,Lotte
2020-09-05 05:00:00 EDT,Yakult,Chunichi
2020-09-05 05:00:00 EDT,Hanshin,Yomiuri
2020-09-05 01:00:00 EDT,Hiroshima,Yokohama
2020-09-05 01:00:00 EDT,Nippon,Seibu
2020-09-05 01:00:00 EDT,Rakuten,Orix
2020-09-05 01:00:00 EDT,SoftBank,Lotte
2020-09-06 05:00:00 EDT,Yakult,Chunichi
2020-09-06 05:00:00 EDT,Hanshin,Yomiuri
2020-09-06 00:30:00 EDT,Hiroshima,Yokohama
2020-09-06 00:00:00 EDT,Nippon,Seibu
2020-09-06 00:00:00 EDT,Rakuten,Orix
2020-09-06 00:00:00 EDT,SoftBank,Lotte
2020-09-07 05:00:00 EDT,Hanshin,Yomiuri
2020-09-07 05:00:00 EDT,Hiroshima,Yokohama
2020-09-08 04:45:00 EDT,Yokohama,Hanshin
2020-09-08 05:00:00 EDT,Chunichi,Yomiuri
2020-09-08 05:00:00 EDT,Hiroshima,Yakult
2020-09-08 05:00:00 EDT,Rakuten,SoftBank
2020-09-08 05:00:00 EDT,Seibu,Orix
2020-09-08 05:00:00 EDT,Lotte,Nippon
2020-09-09 04:45:00 EDT,Yokohama,Hanshin
2020-09-09 05:00:00 EDT,Chunichi,Yomiuri
2020-09-09 05:00:00 EDT,Hiroshima,Yakult
2020-09-09 05:00:00 EDT,Rakuten,SoftBank
2020-09-09 05:00:00 EDT,Seibu,Orix
2020-09-09 05:00:00 EDT,Lotte,Nippon
2020-09-10 04:45:00 EDT,Yokohama,Hanshin
2020-09-10 05:00:00 EDT,Chunichi,Yomiuri
2020-09-10 05:00:00 EDT,Hiroshima,Yakult
2020-09-10 05:00:00 EDT,Rakuten,SoftBank
2020-09-10 05:00:00 EDT,Seibu,Orix
2020-09-10 05:00:00 EDT,Lotte,Nippon
2020-09-11 05:00:00 EDT,Yomiuri,Yakult
2020-09-11 05:00:00 EDT,Yokohama,Chunichi
2020-09-11 05:00:00 EDT,Hanshin,Hiroshima
2020-09-11 05:00:00 EDT,Rakuten,Nippon
2020-09-11 05:00:00 EDT,Lotte,Orix
2020-09-11 05:00:00 EDT,SoftBank,Seibu
2020-09-12 05:00:00 EDT,Yomiuri,Yakult
2020-09-12 04:00:00 EDT,Yokohama,Chunichi
2020-09-12 01:00:00 EDT,Hanshin,Hiroshima
2020-09-12 01:00:00 EDT,Rakuten,Nippon
2020-09-12 04:00:00 EDT,Lotte,Orix
2020-09-12 05:00:00 EDT,SoftBank,Seibu
2020-09-13 01:00:00 EDT,Yomiuri,Yakult
2020-09-13 04:00:00 EDT,Yokohama,Chunichi
2020-09-13 01:00:00 EDT,Hanshin,Hiroshima
2020-09-13 00:00:00 EDT,Rakuten,Nippon
2020-09-13 04:00:00 EDT,Lotte,Orix
2020-09-13 00:00:00 EDT,SoftBank,Seibu
2020-09-15 05:00:00 EDT,Yomiuri,Hanshin
2020-09-15 05:00:00 EDT,Yakult,Yokohama
2020-09-15 05:00:00 EDT,Hiroshima,Chunichi
2020-09-15 05:00:00 EDT,Nippon,SoftBank
2020-09-15 05:00:00 EDT,Seibu,Lotte
2020-09-15 05:00:00 EDT,Orix,Rakuten
2020-09-16 05:00:00 EDT,Yomiuri,Hanshin
2020-09-16 05:00:00 EDT,Yakult,Yokohama
2020-09-16 05:00:00 EDT,Hiroshima,Chunichi
2020-09-16 05:00:00 EDT,Nippon,SoftBank
2020-09-16 05:00:00 EDT,Seibu,Lotte
2020-09-16 05:00:00 EDT,Orix,Rakuten
2020-09-17 05:00:00 EDT,Yomiuri,Hanshin
2020-09-17 05:00:00 EDT,Yakult,Yokohama
2020-09-17 05:00:00 EDT,Hiroshima,Chunichi
2020-09-17 05:00:00 EDT,Nippon,SoftBank
2020-09-17 05:00:00 EDT,Seibu,Lotte
2020-09-17 05:00:00 EDT,Orix,Rakuten
2020-09-18 05:00:00 EDT,Yakult,Hiroshima
2020-09-18 05:00:00 EDT,Yokohama,Yomiuri
2020-09-18 05:00:00 EDT,Chunichi,Hanshin
2020-09-18 05:00:00 EDT,Nippon,Lotte
2020-09-18 05:00:00 EDT,Orix,Seibu
2020-09-18 05:00:00 EDT,SoftBank,Rakuten
2020-09-19 05:30:00 EDT,Yakult,Hiroshima
2020-09-19 01:00:00 EDT,Yokohama,Yomiuri
2020-09-19 01:00:00 EDT,Chunichi,Hanshin
2020-09-19 01:00:00 EDT,Nippon,Lotte
2020-09-19 05:00:00 EDT,Orix,Seibu
2020-09-19 01:00:00 EDT,SoftBank,Rakuten
2020-09-20 05:30:00 EDT,Yakult,Hiroshima
2020-09-20 01:00:00 EDT,Yokohama,Yomiuri
2020-09-20 01:00:00 EDT,Chunichi,Hanshin
2020-09-20 01:00:00 EDT,Nippon,Lotte
2020-09-20 00:00:00 EDT,Orix,Seibu
2020-09-20 00:00:00 EDT,SoftBank,Rakuten
2020-09-21 05:00:00 EDT,Yomiuri,Hiroshima
2020-09-21 05:00:00 EDT,Chunichi,Yakult
2020-09-21 05:00:00 EDT,Hanshin,Yokohama
2020-09-22 05:00:00 EDT,Yomiuri,Hiroshima
2020-09-22 05:00:00 EDT,Chunichi,Yakult
2020-09-22 01:00:00 EDT,Hanshin,Yokohama
2020-09-22 00:00:00 EDT,Rakuten,Lotte
2020-09-22 05:00:00 EDT,Seibu,Nippon
2020-09-22 05:00:00 EDT,SoftBank,Orix
2020-09-23 05:00:00 EDT,Yomiuri,Hiroshima
2020-09-23 05:00:00 EDT,Chunichi,Yakult
2020-09-23 05:00:00 EDT,Hanshin,Yokohama
2020-09-23 05:00:00 EDT,Rakuten,Lotte
2020-09-23 05:00:00 EDT,Seibu,Nippon
2020-09-23 05:00:00 EDT,SoftBank,Orix
2020-09-24 05:00:00 EDT,Rakuten,Lotte
2020-09-24 05:00:00 EDT,Seibu,Nippon
2020-09-24 05:00:00 EDT,SoftBank,Orix
2020-09-25 05:00:00 EDT,Yomiuri,Chunichi
2020-09-25 05:00:00 EDT,Yakult,Hanshin
2020-09-25 05:00:00 EDT,Hiroshima,Yokohama
2020-09-25 05:00:00 EDT,Seibu,Rakuten
2020-09-25 05:00:00 EDT,Lotte,SoftBank
2020-09-25 05:00:00 EDT,Orix,Nippon
2020-09-26 01:00:00 EDT,Yomiuri,Chunichi
2020-09-26 05:30:00 EDT,Yakult,Hanshin
2020-09-26 01:00:00 EDT,Hiroshima,Yokohama
2020-09-26 01:00:00 EDT,Seibu,Rakuten
2020-09-26 01:00:00 EDT,Lotte,SoftBank
2020-09-26 01:00:00 EDT,Orix,Nippon
2020-09-27 01:00:00 EDT,Yomiuri,Chunichi
2020-09-27 05:30:00 EDT,Yakult,Hanshin
2020-09-27 00:30:00 EDT,Hiroshima,Yokohama
2020-09-27 00:00:00 EDT,Seibu,Rakuten
2020-09-27 00:00:00 EDT,Lotte,SoftBank
2020-09-27 00:00:00 EDT,Orix,Nippon
2020-09-29 05:00:00 EDT,Yokohama,Yakult
2020-09-29 05:00:00 EDT,Hanshin,Chunichi
2020-09-29 05:00:00 EDT,Hiroshima,Yomiuri
2020-09-29 05:00:00 EDT,Nippon,Lotte
2020-09-29 05:00:00 EDT,Rakuten,SoftBank
2020-09-29 05:00:00 EDT,Orix,Seibu
2020-09-30 05:00:00 EDT,Yokohama,Yakult
2020-09-30 05:00:00 EDT,Hanshin,Chunichi
2020-09-30 05:00:00 EDT,Hiroshima,Yomiuri
2020-09-30 05:00:00 EDT,Nippon,Lotte
2020-09-30 05:00:00 EDT,Rakuten,SoftBank
2020-09-30 05:00:00 EDT,Orix,Seibu
2020-10-01 05:00:00 EDT,Yokohama,Yakult
2020-10-01 05:00:00 EDT,Hanshin,Chunichi
2020-10-01 05:00:00 EDT,Hiroshima,Yomiuri
2020-10-01 05:00:00 EDT,Nippon,Lotte
2020-10-01 05:00:00 EDT,Rakuten,SoftBank
2020-10-01 05:00:00 EDT,Orix,Seibu
2020-10-02 05:00:00 EDT,Yakult,Hiroshima
2020-10-02 05:00:00 EDT,Yokohama,Chunichi
2020-10-02 05:00:00 EDT,Hanshin,Yomiuri
2020-10-02 05:00:00 EDT,Lotte,Seibu
2020-10-02 05:00:00 EDT,Orix,Rakuten
2020-10-02 05:00:00 EDT,SoftBank,Nippon
2020-10-03 05:30:00 EDT,Yakult,Hiroshima
2020-10-03 01:00:00 EDT,Yokohama,Chunichi
2020-10-03 01:00:00 EDT,Hanshin,Yomiuri
2020-10-03 01:00:00 EDT,Lotte,Seibu
2020-10-03 01:00:00 EDT,Orix,Rakuten
2020-10-03 05:00:00 EDT,SoftBank,Nippon
2020-10-04 05:30:00 EDT,Yakult,Hiroshima
2020-10-04 01:00:00 EDT,Yokohama,Chunichi
2020-10-04 01:00:00 EDT,Hanshin,Yomiuri
2020-10-04 00:00:00 EDT,Lotte,Seibu
2020-10-04 00:00:00 EDT,Orix,Rakuten
2020-10-04 01:00:00 EDT,SoftBank,Nippon
2020-10-05 05:00:00 EDT,Hanshin,Yomiuri
2020-10-06 05:00:00 EDT,Yomiuri,Yokohama
2020-10-06 05:00:00 EDT,Chunichi,Yakult
2020-10-06 05:00:00 EDT,Hiroshima,Hanshin
2020-10-06 05:00:00 EDT,Nippon,Rakuten
2020-10-06 05:00:00 EDT,Seibu,SoftBank
2020-10-06 05:00:00 EDT,Lotte,Orix
2020-10-07 05:00:00 EDT,Yomiuri,Yokohama
2020-10-07 05:00:00 EDT,Chunichi,Yakult
2020-10-07 05:00:00 EDT,Hiroshima,Hanshin
2020-10-07 05:00:00 EDT,Nippon,Rakuten
2020-10-07 05:00:00 EDT,Seibu,SoftBank
2020-10-07 05:00:00 EDT,Lotte,Orix
2020-10-08 05:00:00 EDT,Yomiuri,Yokohama
2020-10-08 05:00:00 EDT,Hiroshima,Hanshin
2020-10-08 05:00:00 EDT,Nippon,Rakuten
2020-10-08 05:00:00 EDT,Seibu,SoftBank
2020-10-08 05:00:00 EDT,Lotte,Orix
2020-10-09 05:00:00 EDT,Hanshin,Yokohama
2020-10-09 05:00:00 EDT,Hiroshima,Yakult
2020-10-09 05:00:00 EDT,Nippon,Orix
2020-10-09 05:00:00 EDT,Rakuten,Seibu
2020-10-09 05:00:00 EDT,SoftBank,Lotte
2020-10-10 01:00:00 EDT,Chunichi,Yomiuri
2020-10-10 01:00:00 EDT,Hanshin,Yokohama
2020-10-10 05:00:00 EDT,Hiroshima,Yakult
2020-10-10 01:00:00 EDT,Nippon,Orix
2020-10-10 01:00:00 EDT,Rakuten,Seibu
2020-10-10 01:00:00 EDT,SoftBank,Lotte
2020-10-11 01:00:00 EDT,Chunichi,Yomiuri
2020-10-11 01:00:00 EDT,Hanshin,Yokohama
2020-10-11 00:30:00 EDT,Hiroshima,Yakult
2020-10-11 01:00:00 EDT,Nippon,Orix
2020-10-11 00:00:00 EDT,Rakuten,Seibu
2020-10-11 00:00:00 EDT,SoftBank,Lotte
2020-10-12 05:00:00 EDT,Chunichi,Yomiuri
2020-10-13 05:00:00 EDT,Yomiuri,Hiroshima
2020-10-13 05:00:00 EDT,Yakult,Yokohama
2020-10-13 05:00:00 EDT,Chunichi,Hanshin
2020-10-13 05:00:00 EDT,Nippon,Seibu
2020-10-13 05:00:00 EDT,Lotte,Rakuten
2020-10-13 05:00:00 EDT,Orix,SoftBank
2020-10-14 05:00:00 EDT,Yomiuri,Hiroshima
2020-10-14 05:00:00 EDT,Yakult,Yokohama
2020-10-14 05:00:00 EDT,Chunichi,Hanshin
2020-10-14 05:00:00 EDT,Nippon,Seibu
2020-10-14 05:00:00 EDT,Lotte,Rakuten
2020-10-14 05:00:00 EDT,Orix,SoftBank
2020-10-15 05:00:00 EDT,Yomiuri,Hiroshima
2020-10-15 05:00:00 EDT,Yakult,Yokohama
2020-10-15 05:00:00 EDT,Chunichi,Hanshin
2020-10-15 05:00:00 EDT,Nippon,Seibu
2020-10-15 05:00:00 EDT,Lotte,Rakuten
2020-10-15 05:00:00 EDT,Orix,SoftBank
2020-10-16 05:00:00 EDT,Yokohama,Yomiuri
2020-10-16 05:00:00 EDT,Hanshin,Yakult
2020-10-16 05:00:00 EDT,Hiroshima,Chunichi
2020-10-16 05:00:00 EDT,Seibu,Orix
2020-10-16 05:00:00 EDT,Lotte,Nippon
2020-10-16 05:00:00 EDT,SoftBank,Rakuten
2020-10-17 01:00:00 EDT,Yokohama,Yomiuri
2020-10-17 01:00:00 EDT,Hanshin,Yakult
2020-10-17 01:00:00 EDT,Hiroshima,Chunichi
2020-10-17 01:00:00 EDT,Seibu,Orix
2020-10-17 01:00:00 EDT,Lotte,Nippon
2020-10-17 01:00:00 EDT,SoftBank,Rakuten
2020-10-18 01:00:00 EDT,Yokohama,Yomiuri
2020-10-18 01:00:00 EDT,Hanshin,Yakult
2020-10-18 00:30:00 EDT,Hiroshima,Chunichi
2020-10-18 00:00:00 EDT,Seibu,Orix
2020-10-18 00:00:00 EDT,Lotte,Nippon
2020-10-18 00:00:00 EDT,SoftBank,Rakuten
2020-10-20 05:00:00 EDT,Yakult,Yomiuri
2020-10-20 05:00:00 EDT,Chunichi,Yokohama
2020-10-20 05:00:00 EDT,Hanshin,Hiroshima
2020-10-20 05:00:00 EDT,Nippon,SoftBank
2020-10-20 05:00:00 EDT,Rakuten,Orix
2020-10-20 05:00:00 EDT,Seibu,Lotte
2020-10-21 05:00:00 EDT,Yakult,Yomiuri
2020-10-21 05:00:00 EDT,Chunichi,Yokohama
2020-10-21 05:00:00 EDT,Hanshin,Hiroshima
2020-10-21 05:00:00 EDT,Nippon,SoftBank
2020-10-21 05:00:00 EDT,Rakuten,Orix
2020-10-21 05:00:00 EDT,Seibu,Lotte
2020-10-22 05:00:00 EDT,Yakult,Yomiuri
2020-10-22 05:00:00 EDT,Chunichi,Yokohama
2020-10-22 05:00:00 EDT,Hanshin,Hiroshima
2020-10-22 05:00:00 EDT,Nippon,SoftBank
2020-10-22 05:00:00 EDT,Rakuten,Orix
2020-10-22 05:00:00 EDT,Seibu,Lotte
2020-10-23 05:00:00 EDT,Yomiuri,Hanshin
2020-10-23 05:00:00 EDT,Yakult,Chunichi
2020-10-23 05:00:00 EDT,Yokohama,Hiroshima
2020-10-23 05:00:00 EDT,Rakuten,Nippon
2020-10-23 05:00:00 EDT,Orix,Lotte
2020-10-23 05:00:00 EDT,SoftBank,Seibu
2020-10-24 01:00:00 EDT,Yomiuri,Hanshin
2020-10-24 05:30:00 EDT,Yakult,Chunichi
2020-10-24 01:00:00 EDT,Yokohama,Hiroshima
2020-10-24 01:00:00 EDT,Rakuten,Nippon
2020-10-24 01:00:00 EDT,Orix,Lotte
2020-10-24 01:00:00 EDT,SoftBank,Seibu
2020-10-25 01:00:00 EDT,Yomiuri,Hanshin
2020-10-25 05:30:00 EDT,Yakult,Chunichi
2020-10-25 01:00:00 EDT,Yokohama,Hiroshima
2020-10-25 00:00:00 EDT,Rakuten,Nippon
2020-10-25 00:00:00 EDT,Orix,Lotte
2020-10-25 00:00:00 EDT,SoftBank,Seibu
2020-10-27 05:00:00 EDT,Yokohama,Yomiuri
2020-10-27 05:00:00 EDT,Hanshin,Chunichi
2020-10-27 05:00:00 EDT,Hiroshima,Yakult
2020-10-27 05:00:00 EDT,Seibu,Rakuten
2020-10-27 05:00:00 EDT,Orix,Nippon
2020-10-27 05:00:00 EDT,SoftBank,Lotte
2020-10-28 05:00:00 EDT,Yokohama,Yomiuri
2020-10-28 05:00:00 EDT,Hanshin,Chunichi
2020-10-28 05:00:00 EDT,Hiroshima,Yakult
2020-10-28 05:00:00 EDT,Seibu,Rakuten
2020-10-28 05:00:00 EDT,Orix,Nippon
2020-10-28 05:00:00 EDT,SoftBank,Lotte
2020-10-29 05:00:00 EDT,Yokohama,Yomiuri
2020-10-29 05:00:00 EDT,Hanshin,Chunichi
2020-10-29 05:00:00 EDT,Hiroshima,Yakult
2020-10-29 05:00:00 EDT,Seibu,Rakuten
2020-10-29 05:00:00 EDT,Orix,Nippon
2020-10-29 05:00:00 EDT,SoftBank,Lotte
2020-10-30 05:00:00 EDT,Yomiuri,Yakult
2020-10-30 05:00:00 EDT,Yokohama,Hanshin
2020-10-30 05:00:00 EDT,Chunichi,Hiroshima
2020-10-30 05:00:00 EDT,Nippon,Orix
2020-10-30 05:00:00 EDT,Seibu,SoftBank
2020-10-30 05:00:00 EDT,Lotte,Rakuten
2020-10-31 01:00:00 EDT,Yomiuri,Yakult
2020-10-31 01:00:00 EDT,Yokohama,Hanshin
2020-10-31 01:00:00 EDT,Chunichi,Hiroshima
2020-10-31 01:00:00 EDT,Nippon,Orix
2020-10-31 01:00:00 EDT,Seibu,SoftBank
2020-10-31 01:00:00 EDT,Lotte,Rakuten
2020-11-01 01:00:00 EDT,Yomiuri,Yakult
2020-11-01 01:00:00 EDT,Yokohama,Hanshin
2020-11-01 01:00:00 EDT,Chunichi,Hiroshima
2020-11-01 00:00:00 EDT,Nippon,Orix
2020-11-01 00:00:00 EDT,Seibu,SoftBank
2020-11-01 00:00:00 EDT,Lotte,Rakuten
2020-11-02 05:00:00 EDT,Seibu,Nippon
2020-11-03 01:00:00 EDT,Chunichi,Yokohama
2020-11-03 01:00:00 EDT,Hanshin,Yakult
2020-11-03 01:00:00 EDT,Hiroshima,Yomiuri
2020-11-03 01:00:00 EDT,Seibu,Nippon
2020-11-03 01:00:00 EDT,Lotte,SoftBank
2020-11-03 05:00:00 EDT,Orix,Rakuten
2020-11-04 05:00:00 EDT,Chunichi,Yokohama
2020-11-04 05:00:00 EDT,Hanshin,Yakult
2020-11-04 05:00:00 EDT,Hiroshima,Yomiuri
2020-11-04 05:00:00 EDT,Seibu,Nippon
2020-11-04 05:00:00 EDT,Lotte,SoftBank
2020-11-04 05:00:00 EDT,Orix,Rakuten
2020-11-05 05:00:00 EDT,Chunichi,Yokohama
2020-11-05 05:00:00 EDT,Hanshin,Yakult
2020-11-05 05:00:00 EDT,Hiroshima,Yomiuri
2020-11-05 05:00:00 EDT,Lotte,SoftBank
2020-11-05 05:00:00 EDT,Orix,Rakuten
2020-11-06 05:00:00 EDT,Chunichi,Yakult
2020-11-06 05:00:00 EDT,Orix,Nippon
2020-11-07 05:00:00 EDT,Yomiuri,Yakult